Block 1
File name, MAC, Probvector
api-ms-win-downlevel-advapi32-l1-1-1 - Copy - Copy.dll, b5113a4e943c198ece70855859ae6168, 0.0057567617
api-ms-win-downlevel-advapi32-l1-1-1 - Copy.dll, 99a259998d3762c4ff69be8c2cbd170a, 0.0056496381
api-ms-win-downlevel-advapi32-l1-1-1.dll, 9283c73d70b98cf0bde1f8a57dcd828a, 0.0055420207
api-ms-win-downlevel-advapi32-l2-1-0 - Copy (2) - Copy.dll, 9e2c84e5c95a8b3443a0ba425938ab44, 0.0054340146
api-ms-win-downlevel-advapi32-l2-1-0 - Copy (2).dll, 152f5ef37675fdaf9343f3ae751a5b6b, 0.0053257233
api-ms-win-downlevel-advapi32-l2-1-0 - Copy (3) - Copy.dll, b50f2b4a93a1d8bb366a77d44bb8f96f, 0.0052172487
api-ms-win-downlevel-advapi32-l2-1-0 - Copy (3).dll, ffac0c9467890879b7fc210655e22895, 0.0051086908
api-ms-win-downlevel-advapi32-l2-1-0 - Copy (4) - Copy.dll, 2937f37bc098e600e4d0e0e10d92a8eb, 0.0050001477
api-ms-win-downlevel-advapi32-l2-1-0 - Copy (4).dll, d11feac9cb0e0cec172b91417562d3f5, 0.0048917155
api-ms-win-downlevel-advapi32-l2-1-0 - Copy (5).dll, 13824ce96a6f9cc1146c094ad1a753c6, 0.004783488
api-ms-win-downlevel-advapi32-l2-1-0 - Copy - Copy.dll, 2c3bf3eee036b90bae13071ade3e723e, 0.0046755567
api-ms-win-downlevel-advapi32-l2-1-0 - Copy.dll, 15f531b62feb6df8100c64a6765a995f, 0.0045680107
api-ms-win-downlevel-advapi32-l2-1-0.dll, e1eb73a751d864958f02898e2a9e2a49, 0.0044609364
api-ms-win-downlevel-advapi32-l2-1-1 - Copy (2) - Copy.dll, 90e755008adc3071c47ed64b86bbaeb2, 0.0043544177
api-ms-win-downlevel-advapi32-l2-1-1 - Copy (2).dll, 235123afab99651479c5e8356bd7032d, 0.0042485358
api-ms-win-downlevel-advapi32-l2-1-1 - Copy (3) - Copy.dll, ce9048634b6bbb0eafed824c939a904c, 0.0041433691
api-ms-win-downlevel-advapi32-l2-1-1 - Copy (3).dll, 3f682a84c773dfe798696d275ffc026f, 0.004038993
api-ms-win-downlevel-advapi32-l2-1-1 - Copy (4) - Copy.dll, a62c170a7625961035b7b8538c2e524d, 0.0039354801
api-ms-win-downlevel-advapi32-l2-1-1 - Copy (4).dll, a83adcdbf587c028f0bcf52cecac0163, 0.0038328999
api-ms-win-downlevel-advapi32-l2-1-1 - Copy (5).dll, f5f95421f7471a67b3b32ba9d69c7e3f, 0.003731319
api-ms-win-downlevel-advapi32-l2-1-1 - Copy - Copy.dll, 582c220b870cab365c8725ec297ff396, 0.0036308007
api-ms-win-downlevel-advapi32-l2-1-1 - Copy.dll, baf15e9b45c228ab7e7da86d94ad45f5, 0.0035314055
api-ms-win-downlevel-advapi32-l2-1-1.dll, ce15121fbb0b8efede08d4baa06cc087, 0.0034331906
api-ms-win-downlevel-advapi32-l3-1-0 - Copy (2) - Copy.dll, 7089a0bd391809dff71addb61f455408, 0.0033362099
api-ms-win-downlevel-advapi32-l3-1-0 - Copy (2).dll, 4bd8318a1fde7cbe67b6aec858019645, 0.0032405145
api-ms-win-downlevel-advapi32-l3-1-0 - Copy (3) - Copy.dll, c80788c45b5f50e3c4a7a7bba1b94026, 0.003146152
api-ms-win-downlevel-advapi32-l3-1-0 - Copy (3).dll, 86d4b094281af34e69e6ac523c0ff692, 0.0030531672
api-ms-win-downlevel-advapi32-l3-1-0 - Copy (4) - Copy.dll, 22353bf00c22a308826df581d2d54623, 0.0029616014
api-ms-win-downlevel-advapi32-l3-1-0 - Copy (4).dll, 397cc368dfcecafa05ffa381a0120267, 0.002871493
api-ms-win-downlevel-advapi32-l3-1-0 - Copy (5).dll, 00f1422ddf2168287bf02e224d13f911, 0.0027828773
api-ms-win-downlevel-advapi32-l3-1-0 - Copy - Copy.dll, 468a416745b613dc920e1a2a1dfb4e13, 0.0026957865
api-ms-win-downlevel-advapi32-l3-1-0 - Copy.dll, e49ce47ed94d28ff2de62a12b4a3c909, 0.0026102498
api-ms-win-downlevel-advapi32-l3-1-0.dll, 62634ba068084404273fba19ee5baca9, 0.0025262935
api-ms-win-downlevel-advapi32-l4-1-0 - Copy (2) - Copy.dll, d9617e3561b3bd9ee8e4648d49f394c8, 0.0024439407
api-ms-win-downlevel-advapi32-l4-1-0 - Copy (2).dll, 14cf7d6b46501bf4a906acff77667a01, 0.0023632118
api-ms-win-downlevel-advapi32-l4-1-0 - Copy (3) - Copy.dll, e6d8139031ab8d1d1b808c5ed9318876, 0.0022841246
api-ms-win-downlevel-advapi32-l4-1-0 - Copy (3).dll, 3f0220d556c24ed2ea307ceaa8e83da8, 0.0022066938
api-ms-win-downlevel-advapi32-l4-1-0 - Copy (4) - Copy.dll, 8b4e8514a6a079666d00b79daf78dc34, 0.0021309315
api-ms-win-downlevel-advapi32-l4-1-0 - Copy (4).dll, 8044f1471163c6eddd8797bcc8afe221, 0.0020568473
api-ms-win-downlevel-advapi32-l4-1-0 - Copy (5).dll, 2fad2e677c4010b6080be758ed180410, 0.0019844481
api-ms-win-downlevel-advapi32-l4-1-0 - Copy - Copy.dll, 7a0ba686e529f7a31acf6257ff589c81, 0.0019137385
api-ms-win-downlevel-advapi32-l4-1-0 - Copy.dll, 415a526be390b56dd70af60605c7110c, 0.0018447205
api-ms-win-downlevel-advapi32-l4-1-0.dll, e50ed96d8cda37802c308c7db0d84d9c, 0.0017773939
api-ms-win-downlevel-kernel32-l1-1-0 - Copy (2) - Copy.dll, ffa4037b7741e466f8712f4d8334f80e, 0.0017117563
api-ms-win-downlevel-kernel32-l1-1-0 - Copy (2).dll, cea5da268f7b14768a0c0dcaee27117b, 0.0016478032
api-ms-win-downlevel-kernel32-l1-1-0 - Copy (3) - Copy.dll, dffd8d8a00d675dc63b8963e8e4e8332, 0.0015855279
api-ms-win-downlevel-kernel32-l1-1-0 - Copy (3).dll, d8cc5f28e4fe1685c1707474d9dd2830, 0.0015249218
api-ms-win-downlevel-kernel32-l1-1-0 - Copy (4) - Copy.dll, 54d20c4bee0857b793258f7ec254716f, 0.0014659744
api-ms-win-downlevel-kernel32-l1-1-0 - Copy (4).dll, 82bc9c36eea930e2f59da1e342faa8d8, 0.0014086735
api-ms-win-downlevel-kernel32-l1-1-0 - Copy (5).dll, 6859630e38b4cb174e0100a5d98f6267, 0.0013530051
api-ms-win-downlevel-kernel32-l1-1-0 - Copy - Copy.dll, e2fa4814f39b072002758fe815cb35b9, 0.0012989537
api-ms-win-downlevel-kernel32-l1-1-0 - Copy.dll, 354f09889172f22020247e470c040b76, 0.0012465022
api-ms-win-downlevel-kernel32-l1-1-0.dll, e3cdc51ce743aa2779cba66d56b11520, 0.0011956321
api-ms-win-downlevel-kernel32-l2-1-0 - Copy (2) - Copy.dll, 89ac39886d2f4bd36bc44e6ca8d1c4b3, 0.0011463236
api-ms-win-downlevel-kernel32-l2-1-0 - Copy (2).dll, 1f039787d0dbac2c3dbedc58c18b6ef1, 0.0010985556
api-ms-win-downlevel-kernel32-l2-1-0 - Copy (3) - Copy.dll, 5314bc60e86826f6cb3c94984f1cb543, 0.0010523058
api-ms-win-downlevel-kernel32-l2-1-0 - Copy (3).dll, 63eab2b482aa3bad68144035262d2443, 0.001007551
api-ms-win-downlevel-kernel32-l2-1-0 - Copy (4) - Copy.dll, 7a2a01979bccc119796002bb5e1350ca, 9.642669E-4
api-ms-win-downlevel-kernel32-l2-1-0 - Copy - Copy.dll, 8fd1341dc0ff168ebfcbb8849874b082, 9.224283E-4
Block 1
File name, MAC, Probvector
api-ms-win-core-apiquery-l1-1-0 - Copy (10) - Copy.dll, d9923d0ed22dee85e791afc160d27acb, 0.005391048
api-ms-win-core-apiquery-l1-1-0 - Copy (2) - Copy.dll, 23a7e03c8e66d7c8ba01c43829d099df, 0.005406365
api-ms-win-core-apiquery-l1-1-0 - Copy (2).dll, 02831aba4531e186c6d17167f0823bdb, 0.00542069
api-ms-win-core-apiquery-l1-1-0 - Copy (3) - Copy - Copy.dll, 3b89fb0994dda75f9d3bb7aade05d361, 0.005434016
api-ms-win-core-apiquery-l1-1-0 - Copy (3) - Copy.dll, a920fce9dd57865709a8fd0c01af211b, 0.005446333
api-ms-win-core-apiquery-l1-1-0 - Copy (3).dll, 5ccf8bdeffa8dcbe7f50359d6659ea71, 0.005457636
api-ms-win-core-apiquery-l1-1-0 - Copy (4) - Copy - Copy.dll, 7207274bd77fce83827f09626da15463, 0.005467918
api-ms-win-core-apiquery-l1-1-0 - Copy (4) - Copy.dll, 4e3a407b3284b3e283d0bf31ca78f4bb, 0.005477172
api-ms-win-core-apiquery-l1-1-0 - Copy (4).dll, 96f1945d60b326d80c90f888563ea5c2, 0.005485395
api-ms-win-core-apiquery-l1-1-0 - Copy (5) - Copy - Copy - Copy.dll, f71f4b3182b1e5ff334dfc964d3dd9a0, 0.00549258
api-ms-win-core-apiquery-l1-1-0 - Copy (5) - Copy - Copy.dll, 09a9b4507c136556e9dd879ccce7a7c8, 0.005498725
